Student_ID,Subject,Assessments,Average_Score,Attendance_%,Grade,Term
30000,English,7,63.4,92.0,B,T3
30001,Chemistry,4,48.7,74.7,B,T3
30002,CS,5,69.1,93.3,B,T1
30003,Chemistry,3,77.8,80.9,C,T3
30004,English,3,79.9,86.2,B,T3
30005,History,6,85.6,74.6,B,T3
30006,Physics,5,50.9,85.7,A,T1
30007,English,3,55.7,84.6,A,T3
30008,Chemistry,6,79.9,85.8,C,T1
30009,Physics,5,56.7,91.5,A,T3
30010,CS,6,94.2,95.0,B,T1
30011,Chemistry,5,74.6,98.1,B,T3
30012,Math,3,88.7,78.0,A,T2
30013,CS,3,95.1,98.8,A,T1
30014,English,7,65.4,75.8,C,T3
30015,CS,4,74.6,86.7,C,T3
30016,Math,5,80.7,91.1,B,T1
30017,English,4,74.1,85.1,C,T3
30018,Chemistry,6,94.5,97.1,C,T2
30019,English,6,85.5,82.9,C,T1
30020,CS,7,73.9,81.3,C,T2
30021,CS,5,96.0,83.4,B,T1
30022,Chemistry,5,76.6,85.5,F,T1
30023,CS,5,97.2,76.4,B,T2
30024,Math,7,72.1,87.1,C,T1
30025,English,6,63.8,74.2,B,T1
30026,English,4,58.6,79.0,C,T1
30027,History,8,49.1,79.7,B,T3
30028,Chemistry,8,75.5,97.2,C,T1
30029,Chemistry,8,87.8,81.4,D,T2
30030,Physics,6,67.1,96.0,D,T3
30031,CS,8,90.0,97.9,C,T2
30032,Physics,3,61.2,71.2,B,T2
30033,History,7,82.0,74.6,C,T2
30034,History,7,75.5,72.7,B,T1
30035,English,4,62.8,84.3,C,T2
30036,Physics,5,49.5,85.1,D,T1
30037,Physics,6,74.6,84.6,C,T3
30038,Chemistry,7,97.8,85.7,A,T2
30039,History,5,81.3,87.3,A,T2
30040,Math,5,63.5,79.6,C,T2
30041,History,4,97.3,88.5,F,T3
30042,CS,4,68.3,97.7,A,T2
30043,Math,4,85.2,95.6,A,T1
30044,Math,7,94.1,96.1,D,T2
30045,Chemistry,8,87.6,79.2,B,T1
30046,Chemistry,8,73.5,76.1,B,T3
30047,CS,6,78.0,99.8,C,T1
30048,Physics,6,75.9,89.9,A,T1
30049,History,5,55.6,90.9,B,T3
30050,CS,3,48.5,89.8,C,T2
30051,Physics,3,46.0,96.0,C,T2
30052,English,7,96.8,73.0,B,T3
30053,CS,3,54.9,85.0,B,T1
30054,History,3,58.1,85.9,B,T3
30055,Chemistry,4,46.0,90.5,B,T1
30056,History,7,59.6,71.9,B,T1
30057,History,7,95.3,76.8,B,T3
